player_name,player_cost
Nikola Jokic,77
James Harden,69
Anthony Davis,72
Damian Lillard,69
Luka Doncic,73
Karl-Anthony Towns,76
LeBron James,68
Trae Young,57
Stephen Curry,66
Kevin Durant,67
Joel Embiid,
Jayson Tatum,59
Devin Booker,54
Russell Westbrook,56
Ben Simmons,59
Shai Gilgeous-Alexander,46
Bradley Beal,47
Jimmy Butler,50
Pascal Siakam,55
Andre Drummond,47
Kyrie Irving,42
Kawhi Leonard,42
Jrue Holiday,
Paul George,36
Zion Williamson,38
Deandre Ayton,33
Ja Morant,25
Bam Adebayo,29
Brandon Ingram,34
Nikola Vucevic,27
DeMar DeRozan,27
Donovan Mitchell,27
Tobias Harris,25
Rudy Gobert,22
D'Angelo Russell,
Chris Paul,24
Jamal Murray,24
Khris Middleton,20
Jusuf Nurkic,22
Kyle Lowry,20
Fred VanVleet,21
Domantas Sabonis,18
T.J. Warren,17
Kelly Oubre Jr.,18
John Collins,16
De'Aaron Fox,15
CJ McCollum,
Mitchell Robinson,13
Zach LaVine,13
Gordon Hayward,12
Kristaps PorzingisO,13
Malcolm Brogdon,12
Robert Covington,10
Draymond Green,11
Steven Adams,10
Hassan Whiteside,9
Jonas Valanciunas,8
Clint Capela,8
Montrezl Harrell,
John Wall,8
Dennis Schroder,8
Christian Wood,8
Al Horford,6
LaMarcus Aldridge,7
Delon Wright,7
Devonte' Graham,7
Jerami Grant,6
Victor Oladipo,6
Lonzo Ball,6
Lou Williams,5
Julius Randle,
Mike Conley,5
Eric Bledsoe,5
LaMelo Ball,4
Ricky Rubio,4
Josh Richardson,4
Michael Porter Jr.,3
Tyrese Haliburton,3
Buddy Hield,4
Mason Plumlee,3
Aaron Gordon,4
Donte DiVincenzo,3
Kemba WalkerO,
Caris LeVert,3
Dejounte Murray,3
Jaylen Brown,2
Tyler Herro,2
Jaren Jackson Jr.O,1
Markelle Fultz,1
Andrew Wiggins,2
Marcus Smart,1
Evan Fournier,1
Myles Turner,1
Brandon Clarke,1
Brook Lopez,
Danilo Gallinari,2
Lauri Markkanen,1
Obi Toppin,1
Joe Ingles,1
Ivica Zubac,1
Collin Sexton,1
Spencer Dinwiddie,1
Kevin Love,1
Otto Porter Jr.,1
Richaun Holmes,1
Serge Ibaka,1
Miles Bridges,
Coby White,1
Rui Hachimura,1
Thomas Bryant,1
PJ Washington,1
Jarrett Allen,1
Mikal Bridges,1
Terry Rozier,1
Kendrick Nunn,1
DeMarcus Cousins,1
Malik Beasley,1
Killian Hayes,1
Bojan Bogdanovic,
Elfrid Payton,1
Derrick Rose,1
Kevin Huerter,1
Blake Griffin,1
Jae Crowder,1
Larry Nance Jr.,1
Bogdan Bogdanovic,1
James Wiseman,1
Davis Bertans,1
DeAndre Jordan,1
Anthony Edwards,1
Marvin Bagley III,
Dillon Brooks,1
Derrick White,1
Aron Baynes,1
Tomas Satoransky,1
RJ Barrett,1
Jordan Clarkson,1
Goran Dragic,1
Wendell Carter Jr.,1
Derrick Favors,1
Tim Hardaway Jr.,1
Patrick Williams,1
Willie Cauley-Stein,
Harrison Barnes,1
Terrence Ross,1
Joe Harris,1
Darius Garland,1
Mo Bamba,1
Troy Brown Jr.,1
Will Barton,1
Daniel Theis,1
Jeremy Lamb,1
Marc Gasol,1
Monte Morris,1
