R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL,FGA,FGM,FTA,FTM
1,"James Harden Harden's the clear number 1 option if he stays in Houston and he's motivated, but right now his motivation is being questioned. I won't blame you for taking somebody else with the number 1 pick","PG,SG",HOU,64,36.3,0.448 (619.5/1381.8),0.865 (666.9/771.2),300.8,2206.7,425.0,533.1,115.8,58.2,293.8,16.61,1381.8,619.5,771.2,666.9
2,Anthony Davis If LeBron misses time early it'll be the Anthony Davis show in LA. Has an elite fantasy game and an ever improving 3-point shot,"PF,C",LAL,65,34.8,0.503 (585.0/1164.2),0.847 (473.2/559.0),85.8,1729.7,611.7,210.6,98.8,151.5,164.5,14.24,1164.2,585.0,559.0,473.2
3,Karl-Anthony Towns An elite fantasy player who managed to up his three-pointers made from 1.8 to 3.3 per-game without hurting his FG%. Should be happier on the court with his close friend D'Angelo Russell on the roster,C,MIN,69,33.1,0.501 (581.0/1158.5),0.804 (346.4/430.6),224.3,1732.6,765.2,257.4,75.9,104.9,235.3,13.03,1158.5,581.0,430.6,346.4
4,"Damian Lillard Continues to return top-5 value, but is often not taken until the end of the first round",PG,POR,67,35.9,0.456 (600.3/1315.2),0.897 (456.9/509.2),265.3,1922.9,279.4,515.2,75.0,17.4,198.3,11.89,1315.2,600.3,509.2,456.9
5,"Stephen Curry Steph is a career 47.6% shooter from the field, so the 40.2% from last season (5 game sample size) was an outlier","PG,SG",GSW,65,33.1,0.459 (520.7/1134.3),0.911 (399.8/438.8),263.9,1705.0,352.3,416.7,76.7,30.6,245.7,11.29,1134.3,520.7,438.8,399.8
6,"Nikola Jokic Skinny Jokic is a baller, but cevapi remains undefeated, so we'll see how he looks coming into next season. Still a top-10 player in any format, regardless of weight","PF,C",DEN,70,32.3,0.519 (553.7/1066.1),0.819 (247.8/302.4),86.8,1442.0,722.4,511.0,91.7,51.1,226.8,11.15,1066.1,553.7,302.4,247.8
7,Devin Booker His game keeps on getting better every season. Finished 12th in per-game value last season so if you can get him in the second-round then you've got yourself a steal,"SG,SF",PHX,70,35.6,0.475 (623.0/1312.5),0.916 (466.9/509.6),154.0,1867.6,297.5,452.9,60.9,21.0,261.8,10.53,1312.5,623.0,509.6,466.9
8,Trae Young The addition of Capela means more assists. Expect another strong season as Young continues to develop into a fantasy first-round staple,PG,ATL,68,34.1,0.443 (529.7/1194.8),0.866 (531.8/614.0),233.9,1825.1,238.0,652.8,68.7,6.8,265.9,10.17,1194.8,529.7,614.0,531.8
9,Luka Doncic Went from being a liability in both shooting %s in his rookie season to shooting 46.3% from FG% and 75.8% from FT% in his second season. If he can edge his FT% up a little he'll be an early to mid-first-round guy for seasons to come.,"PG,SG",DAL,67,34.1,0.465 (645.9/1387.6),0.768 (483.1/629.1),195.0,1969.8,637.8,606.4,73.7,20.8,281.4,9.14,1387.6,645.9,629.1,483.1
10,"Kawhi Leonard An elite per-game fantasy player. His on-going knee issues might be an issue in a compacted fantasy schedule, but he'll still be a top-8 fantasy player","SG,SF",LAC,60,32.1,0.475 (559.8/1179.0),0.868 (367.2/423.0),130.8,1617.0,414.6,290.4,106.8,35.4,154.2,9.07,1179.0,559.8,423.0,367.2
